Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,81.7,0,0,89.12,98.9263,1.589351,0,0,0,0,0,0,89.9999,89.9999,0,0
0.09999999,S,0.09999999,0.03638756,0,0.4021909,0,1515.082,81.25645,0.1466106,0,88.95665,98.9263,1.615827,567.674352163117,567.674352162152,0.00104693284687519,47.5631530226311,45.24425,0.00008401998,89.9999,89.9999,1.804471,0.00000337682
0.2,S,0.2,0.08358256,0,0.3814944,0,1483.087,80.59188,0.7335659,0,88.79329,98.9263,1.642303,559.612989497438,559.612989496485,0.00103286311030696,102.465715194508,101.4101,0.0001876632,89.9999,89.9999,9.145425,0.00001697535
0.3,S,0.3,0.1322773,5.2755,0.4573891,0.8102638,1522.848,79.92665,2.201799,4.199566,88.62994,98.9263,1.668779,579.955110424126,579.953,-1.564576,159.168066829406,158.4934,-0.03047636,89.99825,90.01101,22.2105,-0.000264
0.3999999,S,0.3999999,0.1830845,3.735435,0.4157354,0.5719425,1585.43,79.24202,3.831311,5.577356,88.46658,98.9263,1.695255,609.989815839436,609.9879,-1.528817,218.386674447429,217.9064,-0.1944892,89.93486,90.05113,41.30161,-0.0115825
0.4999998,S,0.4999998,0.2367311,2.701271,0.3964348,0.4141784,1632.671,78.5274,6.102653,6.673439,88.30322,98.9263,1.72173,634.251311624881,634.2513,-0.1214339,280.821584530649,280.4528,-0.282877,89.7646,90.05779,66.5149,-0.03666945
0.5999997,S,0.5999997,0.2920972,1.889269,0.386861,0.2916382,1660.93,77.79677,9.056351,7.092,88.13987,98.9263,1.748206,650.963450545945,650.9563,3.051137,345.155329261903,344.8492,-0.1362264,89.47595,90.02263,98.08825,-0.06031933
0.6999996,S,0.6999996,0.3487958,1.181686,0.3823031,0.1854528,1681.653,77.0554,12.74376,6.386758,87.97651,98.9263,1.774682,664.638704270712,664.5881,8.201497,410.981097507099,410.7034,0.4356193,89.0753,89.93922,136.1838,-0.0496843
0.7999995,S,0.7999995,0.4065903,0.5478498,0.3811121,0.09020794,1695.122,76.3062,17.23497,4.197197,87.81316,98.9263,1.801158,675.271797647956,675.1015,15.16461,478.019428260495,477.7416,1.625319,88.5943,89.80508,180.9326,0.04754251
0.8999994,S,0.8999994,0.4653356,0.008738824,0.3825754,0.00847233,1708.623,75.55104,22.61944,0.5137414,87.6498,98.9263,1.827634,685.839131333271,685.4426,23.31858,546.127274692682,545.8221,3.584734,88.09322,89.62371,232.4427,0.3012736
0.9999993,S,0.9999993,0.5250197,-0.3854061,0.38587,-0.05254611,1720.959,74.78993,28.98022,-4.037189,87.48644,98.9263,1.85411,695.792433060119,695.085,31.36802,615.280066392974,614.9203,6.367698,87.65515,89.40671,290.8172,0.7922613
1.099999,S,1.099999,0.5854203,-0.581735,0.3898248,-0.08483849,1724.559,74.02521,36.31441,-8.067575,87.32309,98.9263,1.880586,701.768023072394,700.7713,37.38908,685.181901869016,684.7427,9.859033,87.36668,89.1751,356.1447,1.598724
1.199999,S,1.199999,0.6463618,-0.5575261,0.3936287,-0.08440605,1728.19,73.25899,44.58229,-9.741315,87.15973,98.9263,1.907061,707.432293620318,706.3112,39.81129,755.661628188489,755.1264,13.76618,87.28587,88.9556,428.4856,2.77815
1.299999,S,1.299999,0.7078328,-0.3494229,0.3978375,-0.05571168,1734.197,72.49121,53.87975,-7.677097,86.99638,98.9263,1.933537,713.74946168576,712.7419,37.91145,826.710142004531,826.0771,17.67631,87.40822,88.77418,507.8953,4.352031
1.399999,S,1.399999,0.7700157,-0.0608149,0.3963431,-0.01324065,1744.787,71.71977,63.32074,-2.149777,86.83302,98.9263,1.960013,722.198575836477,721.4572,32.71531,898.547566252446,897.8313,21.2004,87.65131,88.64733,594.4423,6.300286
