0.28, 0, 0, 16.85369, 4.589843, 0, 1058.782, -1015.041, -3.231937, 0.01928791, 0.1567104, 45.66011, 2.512605, 2.25192, 34.59044
 
0.29, -0.290655, 0, 17.33357, 4.604949, 1.751784125299922441192, 1140.254, -1015.197, -3.231937, 0.01928791, 0.1567104, 47.38534, 2.512605, 2.251505, 34.6096
 
0.3, -0.2992657, -0.00290655, 17.81586, 4.620071, 1.6853176882553963925577693517, 1225.166, -1015.354, -3.231937, 0.01928791, 0.1567104, 49.11914, 2.512605, 2.251091, 34.62876
 
0.31, -0.3077378, -0.005899208, 18.30101, 4.635734, 1.6229880741924946548157693517, 1313.553, -1015.512, -3.231937, 0.01928791, 0.1567104, 50.86129, 2.512605, 2.250676, 34.64791
 
0.32, -0.3160549, -0.008976585, 18.78794, 4.650891, 1.5643758243685127164517693517, 1405.449, -1015.669, -3.231937, 0.01928791, 0.1567104, 52.61165, 2.512605, 2.250261, 34.66707
 
0.33, -0.3242001, -0.01213713, 19.27713, 4.666068, 1.509110357648459726406, 1500.888, -1015.827, -3.231937, 0.01928791, 0.1567104, 54.37005, 2.512605, 2.249846, 34.68623
 
0.3399999, -0.3321554, -0.01537914, 19.76906, 4.681783, 1.456868193137549057930, 1599.906, -1015.985, -3.231937, 0.01928791, 0.1567104, 56.13637, 2.512605, 2.249431, 34.70538
 
0.3499999, -0.3399024, -0.01870069, 20.26264, 4.696993, 1.407359619924490960070, 1702.535, -1016.143, -3.231937, 0.01928791, 0.1567104, 57.91046, 2.512605, 2.249016, 34.72454
 
0.3599999, -0.3474849, -0.02209971, 20.76696, 4.719301, 1.360330474449081975350, 1809.149, -1016.301, -3.231937, 0.01928791, 0.1567104, 59.69781, 2.512605, 2.248601, 34.7437
 
0.3699999, -0.3548435, -0.02557456, 21.282, 4.748716, 1.315427060568101907702, 1919.813, -1016.46, -3.231937, 0.01928791, 0.1567104, 61.49834, 2.512605, 2.248186, 34.76285
 
0.3799999, -0.3619616, -0.029123, 21.80093, 4.778431, 1.272468975474832918428, 2034.595, -1016.619, -3.231937, 0.01928791, 0.1567104, 63.31199, 2.512605, 2.247771, 34.78201
 
0.3899999, -0.3688166, -0.03274261, 22.32322, 4.80792, 1.231291812670542001818, 2153.561, -1016.778, -3.231937, 0.01928791, 0.1567104, 65.13869, 2.512605, 2.247356, 34.80117
 
0.3999999, -0.3753864, -0.03643078, 22.84912, 4.837448, 1.191747161964480985150, 2276.782, -1016.937, -3.231937, 0.01928791, 0.1567104, 66.97845, 2.512605, 2.246941, 34.82032
 
0.4099999, -0.3816454, -0.04018464, 23.37887, 4.867272, 1.153699943422555723192, 2404.326, -1017.097, -3.231937, 0.01928791, 0.1567104, 68.8312, 2.512605, 2.246526, 34.83948
 
0.4199999, -0.3875701, -0.04400109, 23.91167, 4.896608, 1.117026629999772227870, 2536.263, -1017.257, -3.231937, 0.01928791, 0.1567104, 70.69692, 2.512605, 2.246112, 34.85864
 
0.4299999, -0.3931188, -0.04787679, 24.44797, 4.926243, 1.081616136224013603434, 2672.567, -1017.417, -3.231937, 0.01928791, 0.1567104, 72.57429, 2.512605, 2.245697, 34.87779
 
0.4399998, -0.3982314, -0.05180798, 24.97474, 4.94458, 1.047387591871578749778, 2812.905, -1017.578, -3.231937, 0.01928791, 0.1567104, 74.45802, 2.512605, 2.245282, 34.89695
 
0.4499998, -0.4029073, -0.05579029, 25.49855, 4.958191, 1.014316113796713482254, 2957.31, -1017.738, -3.231937, 0.01928791, 0.1567104, 76.34811, 2.512605, 2.244867, 34.91611
 
0.4599998, -0.4071151, -0.05981937, 26.02359, 4.971291, 0.982304835467731867768, 3105.813, -1017.899, -3.231937, 0.01928791, 0.1567104, 78.24451, 2.512605, 2.244452, 34.93526
 
0.4699998, -0.4108252, -0.06389052, 26.55065, 4.984667, 0.951262222455609584222, 3258.446, -1018.06, -3.231937, 0.01928791, 0.1567104, 80.14717, 2.512605, 2.244037, 34.95442
 
0.4799998, -0.4140117, -0.06799877, 27.07972, 4.998324, 0.921108293220422466676, 3415.243, -1018.222, -3.231937, 0.01928791, 0.1567104, 82.0561, 2.512605, 2.243622, 34.97358
 
0.4899998, -0.4166468, -0.07213888, 27.60999, 5.011466, 0.891769287008684896352, 3576.233, -1018.383, -3.231937, 0.01928791, 0.1567104, 83.97123, 2.512605, 2.243207, 34.99273
 
0.4999998, -0.4187023, -0.07630535, 28.14225, 5.024886, 0.8631785525371276244837769352, 3741.454, -1018.545, -3.231937, 0.01928791, 0.1567104, 85.8926, 2.512605, 2.242792, 35.01189
 
0.5099998, -0.4201487, -0.08049238, 28.67623, 5.038321, 0.8352734375994740558170, 3910.933, -1018.708, -3.231937, 0.01928791, 0.1567104, 87.82014, 2.512605, 2.242378, 35.03105
 
0.5199998, -0.4209584, -0.08469386, 29.21192, 5.05177, 0.80800017682722227886, 4084.704, -1018.87, -3.231937, 0.01928791, 0.1567104, 89.75385, 2.512605, 2.241963, 35.05021
 
0.5299998, -0.4211019, -0.08890345, 29.74931, 5.065234, 0.7813069599561760847512, 4262.799, -1019.033, -3.231937, 0.01928791, 0.1567104, 91.69368, 2.512605, 2.241548, 35.06936
 
0.5399998, -0.4205519, -0.09311447, 30.28814, 5.078449, 0.7551481975085778107910230648, 4445.252, -1019.196, -3.231937, 0.01928791, 0.1567104, 93.63966, 2.512605, 2.241133, 35.08852
 
0.5499998, -0.4192765, -0.09731998, 30.82918, 5.092208, 0.7294818547417819783627769352, 4632.096, -1019.359, -3.231937, 0.01928791, 0.1567104, 95.59177, 2.512605, 2.240718, 35.10767
 
0.5599998, -0.4172485, -0.1015127, 31.37164, 5.105716, 0.7042690073063534950930, 4823.36, -1019.522, -3.231937, 0.01928791, 0.1567104, 97.54995, 2.512605, 2.240303, 35.12683
 
0.5699998, -0.4144337, -0.1056852, 31.91445, 5.118175, 0.6794762406922831534752, 5018.981, -1019.686, -3.231937, 0.01928791, 0.1567104, 99.51325, 2.512605, 2.239888, 35.14599
 
0.5799997, -0.4108105, -0.1098296, 32.45641, 5.128521, 0.6550800936478580877594230648, 5218.939, -1019.85, -3.231937, 0.01928791, 0.1567104, 101.4812, 2.512605, 2.239473, 35.16515
 
0.5899997, -0.4063489, -0.1139377, 32.99913, 5.138342, 0.6310536390546407171509769352, 5423.262, -1020.014, -3.231937, 0.01928791, 0.1567104, 103.4538, 2.512605, 2.239058, 35.1843
 
0.5999997, -0.4010205, -0.1180011, 33.54339, 5.14844, 0.6073703941360730416004, 5631.97, -1020.178, -3.231937, 0.01928791, 0.1567104, 105.4311, 2.512605, 2.238643, 35.20346
 
0.6099997, -0.3948016, -0.1220114, 34.08892, 5.15855, 0.5840068976404475274604, 5845.09, -1020.343, -3.231937, 0.01928791, 0.1567104, 107.413, 2.512605, 2.238228, 35.22261
 
0.6199997, -0.3876682, -0.1259594, 34.63544, 5.168402, 0.5609427098408928885454230648, 6062.644, -1020.508, -3.231937, 0.01928791, 0.1567104, 109.3995, 2.512605, 2.237813, 35.24177
 
0.6299997, -0.3795967, -0.1298361, 35.18348, 5.178529, 0.5381603236670061681366, 6284.654, -1020.673, -3.231937, 0.01928791, 0.1567104, 111.3905, 2.512605, 2.237399, 35.26093
 
0.6399997, -0.3705666, -0.133632, 35.73278, 5.188667, 0.5156437428107989785108230648, 6511.146, -1020.838, -3.231937, 0.01928791, 0.1567104, 113.3862, 2.512605, 2.236984, 35.28009
 
0.6499997, -0.3605592, -0.1373377, 36.28331, 5.198815, 0.4933803479626432837297769352, 6742.143, -1021.004, -3.231937, 0.01928791, 0.1567104, 115.3865, 2.512605, 2.236569, 35.29924
 
0.6599997, -0.3495569, -0.1409433, 36.83482, 5.208705, 0.4713581418915451269498, 6977.67, -1021.17, -3.231937, 0.01928791, 0.1567104, 117.3913, 2.512605, 2.236154, 35.3184
 
0.6699997, -0.3375418, -0.1444388, 37.38783, 5.218874, 0.4495678822862279371796, 7217.75, -1021.336, -3.231937, 0.01928791, 0.1567104, 119.4007, 2.512605, 2.235739, 35.33755
 
0.6799996, -0.3245034, -0.1478143, 37.9418, 5.228786, 0.4280029040183629233066230648, 7462.405, -1021.503, -3.231937, 0.01928791, 0.1567104, 121.4146, 2.512605, 2.235324, 35.35671
 
0.6899996, -0.3104276, -0.1510593, 38.49726, 5.238976, 0.4066575195117812550035769352, 7711.661, -1021.669, -3.231937, 0.01928791, 0.1567104, 123.4331, 2.512605, 2.234909, 35.37587
 
0.6999996, -0.2953049, -0.1541636, 39.05351, 5.248906, 0.3855285295048806335702, 7965.466, -1021.836, -3.231937, 0.01928791, 0.1567104, 125.4556, 2.512605, 2.234494, 35.39503
 
0.7099996, -0.2791397, -0.1571166, 39.60828, 5.25643, 0.3646159339976646137416, 8223.785, -1022.003, -3.231937, 0.01928791, 0.1567104, 127.4815, 2.512605, 2.234079, 35.41418
 
0.7199996, -0.2619204, -0.159908, 40.16427, 5.264229, 0.3439201773320207744170, 8486.641, -1022.171, -3.231937, 0.01928791, 0.1567104, 129.511, 2.512605, 2.233665, 35.43334
 
0.7299996, -0.2436489, -0.1625272, 40.72117, 5.272035, 0.3234421481917260507624, 8754.042, -1022.338, -3.231937, 0.01928791, 0.1567104, 131.5439, 2.512605, 2.23325, 35.4525
 
0.7399996, -0.2243318, -0.1649637, 41.27886, 5.279713, 0.3031846014964889417924, 9026.01, -1022.506, -3.231937, 0.01928791, 0.1567104, 133.5804, 2.512605, 2.232835, 35.47165
 
0.7499996, -0.2039771, -0.167207, 41.83747, 5.287398, 0.283151536323305655754, 9302.561, -1022.674, -3.231937, 0.01928791, 0.1567104, 135.6204, 2.512605, 2.23242, 35.49081
 
0.7599996, -0.1825972, -0.1692468, 42.397, 5.295093, 0.2633477515645707538598230648, 9583.711, -1022.843, -3.231937, 0.01928791, 0.1567104, 137.6638, 2.512605, 2.232005, 35.50996
 
0.7699996, -0.1602082, -0.1710728, 42.95754, 5.302926, 0.2437805344272577705224, 9869.473, -1023.011, -3.231937, 0.01928791, 0.1567104, 139.7106, 2.512605, 2.23159, 35.52912
 
0.7799996, -0.1368334, -0.1726748, 43.51873, 5.310497, 0.2244573498550894064010230648, 10159.87, -1023.18, -3.231937, 0.01928791, 0.1567104, 141.7609, 2.512605, 2.231175, 35.54828
 
0.7899995, -0.1124982, -0.1740432, 44.08093, 5.318211, 0.2053883288431262771232, 10454.91, -1023.349, -3.231937, 0.01928791, 0.1567104, 143.8147, 2.512605, 2.23076, 35.56744
 
0.7999995, -0.08723067, -0.1751682, 44.64414, 5.326065, 0.1865826248342672601636230648, 10754.6, -1023.519, -3.231937, 0.01928791, 0.1567104, 145.8718, 2.512605, 2.230345, 35.58659
 
0.8099995, -0.06106875, -0.1760405, 45.2081, 5.33379, 0.1680521461911259527980230648, 11058.98, -1023.688, -3.231937, 0.01928791, 0.1567104, 147.9323, 2.512605, 2.22993, 35.60575
 
0.8199995, -0.03405266, -0.1766512, 45.77291, 5.341523, 0.1498094233549571408670, 11368.04, -1023.858, -3.231937, 0.01928791, 0.1567104, 149.9962, 2.512605, 2.229516, 35.6249
 
0.8299995, -0.006228087, -0.1769917, 46.3386, 5.349264, 0.1318676977140353809764, 11681.82, -1024.028, -3.231937, 0.01928791, 0.1567104, 152.0635, 2.512605, 2.2291, 35.64406
 
0.8399995, 0.02235519, -0.177054, 46.90527, 5.357145, 0.1142410993404148309494, 12000.31, -1024.199, -3.231937, 0.01928791, 0.1567104, 154.1341, 2.512605, 2.228686, 35.66322
 
0.8499995, 0.051638, -0.1768304, 47.47263, 5.364898, 0.0969451802001918561910, 12323.54, -1024.369, -3.231937, 0.01928791, 0.1567104, 156.208, 2.512605, 2.228271, 35.68238
 
0.8599995, 0.08155914, -0.176314, 48.04071, 5.372522, 0.07999526120168081896304, 12651.51, -1024.54, -3.231937, 0.01928791, 0.1567104, 158.2853, 2.512605, 2.227856, 35.70153
 
0.8699995, 0.1120525, -0.1754985, 48.60988, 5.380424, 0.0634080407130504199030376935, 12984.25, -1024.711, -3.231937, 0.01928791, 0.1567104, 160.3659, 2.512605, 2.227441, 35.72069
 
0.8799995, 0.1430436, -0.1743779, 49.17974, 5.388196, 0.04720002159203807843848, 13321.77, -1024.883, -3.231937, 0.01928791, 0.1567104, 162.4498, 2.512605, 2.227026, 35.73985
 
0.8899994, 0.1744546, -0.1729475, 49.75056, 5.396114, 0.03138890641948060968122, 13664.07, -1025.054, -3.231937, 0.01928791, 0.1567104, 164.5369, 2.512605, 2.226611, 35.759
 
0.8999994, 0.2061994, -0.171203, 50.32193, 5.403767, 0.0159923800025388456979023065, 14011.19, -1025.226, -3.231937, 0.01928791, 0.1567104, 166.6273, 2.512605, 2.226196, 35.77816
 
0.9099994, 0.2381898, -0.169141, 50.89435, 5.411696, 0.001028999835843013230072, 14363.13, -1025.398, -3.231937, 0.01928791, 0.1567104, 168.721, 2.512605, 2.225781, 35.79732
 
0.9199994, 0.2703292, -0.1667591, 51.46731, 5.41936, -0.01348343907665780456342, 14719.89, -1025.571, -3.231937, 0.01928791, 0.1567104, 170.8179, 2.512605, 2.225366, 35.81647
 
0.9299994, 0.3025177, -0.1640558, 52.04144, 5.42744, -0.02752539813344382225452, 15081.5, -1025.743, -3.231937, 0.01928791, 0.1567104, 172.918, 2.512605, 2.224952, 35.83563
 
0.9399994, 0.3346484, -0.1610306, 52.61597, 5.435117, -0.0410794964572057418666, 15447.98, -1025.916, -3.231937, 0.01928791, 0.1567104, 175.0214, 2.512605, 2.224537, 35.85479
 
0.9499994, 0.3666131, -0.1576841, 53.1914, 5.442937, -0.0541272405385455425952, 15819.32, -1026.089, -3.231937, 0.01928791, 0.1567104, 177.1279, 2.512605, 2.224122, 35.87394
 
0.9599994, 0.3982957, -0.154018, 53.76759, 5.450765, -0.06665020796276735844914, 16195.55, -1026.263, -3.231937, 0.01928791, 0.1567104, 179.2376, 2.512605, 2.223707, 35.8931
 
0.9699994, 0.429577, -0.150035, 54.3447, 5.458737, -0.07863032290184832815198, 16576.68, -1026.437, -3.231937, 0.01928791, 0.1567104, 181.3505, 2.512605, 2.223292, 35.91226
 
0.9799994, 0.4603326, -0.1457393, 54.92241, 5.466578, -0.09005032711684037078, 16962.72, -1026.61, -3.231937, 0.01928791, 0.1567104, 183.4666, 2.512605, 2.222877, 35.93142
 
0.9899994, 0.4904326, -0.1411359, 55.50067, 5.474288, -0.1008921803270717024634, 17353.64, -1026.784, -3.231937, 0.01928791, 0.1567104, 185.5856, 2.512605, 2.222462, 35.95057
 
0.9999993, 0.5197397, -0.1362316, 56.0774, 5.480093, -0.1111411925897095849082, 17749.25, -1026.959, -3.231937, 0.01928791, 0.1567104, 187.7064, 2.512605, 2.222047, 35.96973
 
1.009999, 0.5481223, -0.1310342, 56.65329, 5.484667, -0.1207811898600137980932, 18149.56, -1027.133, -3.231937, 0.01928791, 0.1567104, 189.829, 2.512605, 2.221632, 35.98888
 
1.019999, 0.5754521, -0.125553, 57.22982, 5.489518, -0.1297978643291756858458, 18554.57, -1027.308, -3.231937, 0.01928791, 0.1567104, 191.9535, 2.512605, 2.221217, 36.00804
 
1.029999, 0.6015913, -0.1197985, 57.80645, 5.494098, -0.1381775302670304466096, 18964.28, -1027.483, -3.231937, 0.01928791, 0.1567104, 194.0798, 2.512605, 2.220803, 36.0272
 
1.039999, 0.626402, -0.1137825, 58.38344, 5.498682, -0.1459069462853017464112, 19378.7, -1027.659, -3.231937, 0.01928791, 0.1567104, 196.2079, 2.512605, 2.220387, 36.04635
 
1.049999, 0.6497478, -0.1075185, 58.96105, 5.503541, -0.1529748261000225086424, 19797.82, -1027.834, -3.231937, 0.01928791, 0.1567104, 198.3377, 2.512605, 2.219973, 36.06551
 
1.059999, 0.6714915, -0.101021, 59.53874, 5.508128, -0.1593711275845142546111769352, 20221.67, -1028.01, -3.231937, 0.01928791, 0.1567104, 200.4693, 2.512605, 2.219558, 36.08467
 
1.069999, 0.6914986, -0.09430613, 60.1169, 5.512855, -0.1650867861642495795730, 20650.23, -1028.186, -3.231937, 0.01928791, 0.1567104, 202.6027, 2.512605, 2.219143, 36.10382
 
1.079999, 0.7096348, -0.08739114, 60.6954, 5.517584, -0.1701141591587503958353769352, 21083.52, -1028.363, -3.231937, 0.01928791, 0.1567104, 204.7379, 2.512605, 2.218728, 36.12298
 
1.089999, 0.7257704, -0.08029479, 61.27424, 5.522316, -0.1744473812550844878838230648, 21521.53, -1028.539, -3.231937, 0.01928791, 0.1567104, 206.8748, 2.512605, 2.218313, 36.14214
 
1.099999, 0.7397808, -0.07303708, 61.85328, 5.526916, -0.1780825422446386730906, 21964.29, -1028.716, -3.231937, 0.01928791, 0.1567104, 209.0135, 2.512605, 2.217898, 36.16129
 
