Time (sec),Stage,Stage Time (sec),Mach Number,Angle of Attack (deg),CD,CL,Thrust (lb),Weight (lb),Drag (lb),Lift (lb),CG (in),CP (in),Stability Margin (cal),Accel (ft/sec^2),Accel-V (ft/sec^2),Accel-H (ft/sec^2),Velocity (ft/sec),Vel-V (ft/sec),Vel-H (ft/sec),Pitch Attitude (deg),Flight Path Angle (deg),Altitude (ft),Distance (ft)
0,S,0,0,0,0,0,0,81.7,0,0,89.12,98.9263,1.589351,0,0,0,0,0,0,89.9999,89.9999,0,0
0.09999999,S,0.09999999,0.0390388,0,0.3989215,0,1515.082,81.25645,0.1673815,0,88.95665,98.9263,1.615827,567.666127767731,567.666127766766,0.00104691849259777,50.3109765210565,45.24346,0.0000840186,89.9999,89.9999,1.804435,0.000003376757
0.2,S,0.2,0.08476938,0,0.381216,0,1483.087,80.59188,0.7539957,0,88.79329,98.9263,1.642303,559.604833505858,559.604833504905,0.00103284887541669,103.768550723681,101.4085,0.0001876606,89.9999,89.9999,9.145267,0.00001697509
0.3,S,0.3,0.133026,7.885771,0.5593483,1.203163,1522.848,79.92665,2.723184,6.301389,88.62994,98.9263,1.668779,579.747663106729,579.7429,-2.350059,160.001032716228,158.487,-0.04591673,89.99741,90.0166,22.21008,-0.0004170578
0.3999999,S,0.3999999,0.1835953,5.592885,0.4667322,0.8535588,1585.43,79.24202,4.325321,8.367216,88.46658,98.9263,1.695255,609.788899145979,609.7846,-2.289787,218.958547503301,217.8793,-0.291958,89.90179,90.07677,41.29942,-0.01742196
0.4999998,S,0.4999998,0.237099,4.046474,0.4232013,0.6193981,1632.671,78.5274,6.534954,10.00948,88.30322,98.9263,1.72173,634.06492170056,634.0649,-0.1658889,281.235482743074,280.4062,-0.4235313,89.64538,90.08654,66.5089,-0.05503517
0.5999997,S,0.5999997,0.2923783,2.829733,0.4001306,0.436472,1660.93,77.79677,9.385034,10.63365,88.13987,98.9263,1.748206,650.803221607034,650.7869,4.609126,345.473944248867,344.7852,-0.2010542,89.21121,90.03341,98.07661,-0.09032001
0.6999996,S,0.6999996,0.3490285,1.768593,0.3876609,0.2775019,1681.653,77.0554,12.93961,9.569195,87.97651,98.9263,1.774682,664.519291144639,664.4045,12.35106,411.247089316986,410.622,0.6608692,88.60914,89.90779,136.1648,-0.07384472
0.7999995,S,0.7999995,0.4068019,0.8179685,0.3823771,0.1347328,1695.122,76.3062,17.3102,6.275258,87.81316,98.9263,1.801158,675.209843690338,674.8245,22.80849,478.2634905344,477.6378,2.451051,87.88686,89.70599,180.9043,0.07301082
0.8999994,S,0.8999994,0.4655427,0.009734003,0.3825945,0.01219729,1708.623,75.55104,22.64074,0.7402657,87.6498,98.9263,1.827634,685.850069408908,684.9542,35.04371,546.367462808504,545.6799,5.396664,87.135,89.43338,232.4021,0.4552361
0.9999993,S,0.9999993,0.5252294,-0.5805759,0.3863226,-0.07919899,1720.959,74.78993,29.03745,-6.089793,87.48644,98.9263,1.85411,695.88302637947,694.2867,47.10801,615.523670840159,614.7129,9.577273,86.47831,89.1074,290.759,1.193991
1.099999,S,1.099999,0.5856327,-0.873737,0.3909687,-0.1274379,1724.558,74.02521,36.44752,-12.12724,87.32309,98.9263,1.880586,701.924267688252,699.6776,56.11536,685.428362898171,684.4385,14.81864,86.04665,88.7597,356.0608,2.406497
1.199999,S,1.199999,0.6465758,-0.8359609,0.3947659,-0.1265721,1728.19,73.25899,44.7409,-14.61736,87.15973,98.9263,1.907061,707.608402118919,705.084,59.7177,755.909886450312,754.7037,20.68085,85.92686,88.43034,428.3647,4.178744
1.299999,S,1.299999,0.7080492,-0.5227041,0.3983185,-0.08336512,1734.197,72.49121,53.97822,-11.49481,86.99638,98.9263,1.933537,713.883404231978,711.6168,56.84228,826.961664818523,825.5353,26.5446,86.11162,88.15833,507.7255,6.542672
1.399999,S,1.399999,0.7702361,-0.08949882,0.3963655,-0.0196046,1744.786,71.71977,63.3611,-3.184876,86.83302,98.9263,1.960013,722.247778124498,720.5811,49.03806,898.803758426664,897.1902,31.82753,86.4768,87.9683,594.2126,9.467916
1.499999,S,1.499999,0.8331883,0.256058,0.4046047,0.03417568,1752.885,70.94379,75.42137,6.467249,86.66966,98.9263,1.986489,728.581464406837,727.4642,40.33346,971.4474735139,969.6998,36.2401,86.81871,87.85971,687.9136,12.87845
1.599999,S,1.599999,0.8961812,0.3573085,0.4212887,0.05315922,1730.9,70.1694,90.51596,11.5807,86.50631,98.9263,2.012965,719.951062174712,719.0821,35.36192,1043.92003125943,1042.08,39.94906,86.95495,87.80459,788.8711,16.69175
1.699999,S,1.699999,0.9580548,0.1983977,0.453943,0.03510517,1686.62,69.40832,111.0175,8.693954,86.34295,100.675,2.322855,698.184454027083,697.206,36.95031,1114.89402399378,1112.967,43.51707,86.82919,87.76087,896.9939,20.8633
1.799999,S,1.799999,1.017644,-0.07304514,0.4789248,-0.00816686,1633.305,68.67189,131.5847,-2.269537,86.1796,102.6409,2.667964,671.511158428,670.0541,44.21243,1183.10227037576,1181.054,47.58258,86.55499,87.6929,1012.054,25.41181
1.899999,S,1.899999,1.074911,-0.1568288,0.4885899,-0.02831771,1569.8,67.96001,149.0932,-8.730506,86.01624,103.5787,2.846431,640.63064642244,638.8743,47.40521,1248.50584089203,1246.295,52.26214,86.43293,87.59877,1133.773,30.4017
1.999998,S,1.999998,1.129762,0.01100825,0.4798361,-0.001477486,1514.033,67.27606,160.9701,-0.5003334,85.85288,103.8657,2.91942,614.996344163584,613.6644,40.45377,1311.09307418998,1308.73,56.67687,86.57048,87.52026,1261.856,35.85484
2.099998,S,2.099998,1.182597,0.1021017,0.4705791,0.01863479,1463.019,66.61591,172.1021,6.874348,85.68953,103.8342,2.940794,591.326379645103,590.3366,34.19921,1371.29087673274,1368.818,60.31117,86.66067,87.47713,1396.053,41.70921
2.199998,S,2.199998,1.233614,-0.006616439,0.4606903,0.001164935,1427.107,65.97742,182.3659,0.4648757,85.52617,103.6362,2.935181,574.899250928697,573.674,37.51387,1429.38378514222,1426.803,63.85072,86.54985,87.43767,1536.137,47.91404
2.299998,S,2.299998,1.283561,-0.06027785,0.4514912,-0.01115079,1400.46,65.35242,192.4203,-4.788529,85.36282,103.2435,2.898005,562.70298409446,561.2495,40.4184,1486.2040389317,1483.487,67.82131,86.47465,87.3824,1681.945,54.49544
2.399998,S,2.399998,1.332508,0.0181536,0.443043,0.001757108,1373.834,64.73962,202.3219,0.8081649,85.19946,103.0096,2.886564,550.110669574458,548.9129,36.28191,1541.78328542558,1538.935,71.66872,86.5349,87.33364,1833.354,61.47368
2.499998,S,2.499998,1.380427,0.03567459,0.4353402,0.006918607,1346.088,64.13907,212.0795,3.39324,85.0361,102.6967,2.862327,536.725477167732,535.6523,33.9242,1596.0856181561,1593.128,75.11594,86.5471,87.30051,1990.239,68.81463
2.599998,S,2.599998,1.427,-0.01960455,0.4283587,-0.002708287,1306.812,63.55355,221.6073,-1.409941,84.87275,102.4668,2.851543,517.308988021444,516.0619,35.89853,1648.69293074346,1645.62,78.60909,86.48166,87.26514,2152.455,76.49907
2.699998,S,2.699998,1.469709,-0.01159234,0.4224023,-0.002700062,1155.09,63.00637,230.3055,-1.47982,84.70939,102.2373,2.840829,440.167071635581,439.0472,31.37845,1696.18920447982,1692.998,81.99303,86.47324,87.22729,2319.686,84.53313
2.799998,S,2.799998,1.505738,0.02003224,0.4177053,0.003313711,1003.382,62.52727,237.4564,1.891655,84.54604,102.0444,2.836034,362.007047315067,361.1676,24.63873,1735.91259868006,1732.627,84.74812,86.4943,87.19972,2491.229,92.87579
2.899998,S,2.899998,1.535002,0.0005668132,0.414109,0.0006065114,851.686,62.1165,242.9803,0.3570159,84.38268,101.9127,2.84117,283.201275808681,282.4375,20.78512,1767.78060392138,1764.418,86.97842,86.46605,87.17784,2666.306,101.4651
2.999998,S,2.999998,1.559044,-0.009961369,0.4113035,-0.001874682,800.0295,61.76011,247.2162,-1.130009,84.21932,101.7822,2.84649,255.928629000196,255.1416,20.0556,1794.10873729003,1790.671,89.0064,86.44257,87.15442,2844.206,110.2646
3.099998,S,3.099998,1.580782,0.007847234,0.408881,0.00110911,715.7648,61.42648,250.8647,0.6820686,84.05597,101.6786,2.856182,211.423370074627,210.7939,16.30255,1817.57177068653,1814.066,90.82979,86.44864,87.13361,3024.601,119.2598
3.199997,S,3.199997,1.598151,0.004769015,0.4070241,0.001052726,622.0266,61.13577,253.3973,0.6565437,83.89261,101.5929,2.868762,161.925253694975,161.3791,13.28811,1835.92622426006,1832.366,92.27511,86.436,87.11711,3207.055,128.4174
3.299997,S,3.299997,1.611369,-0.004922215,0.4056576,-0.0008254755,532.1785,60.88622,254.8582,-0.5192553,83.72926,101.5294,2.884946,114.51259378293,113.9788,11.04388,1849.50544564422,1845.896,93.48678,86.41493,87.10069,3391.075,137.7074
3.399997,S,3.399997,1.619385,0.002674324,0.4048485,0.0002950976,397.4387,60.68687,254.9814,0.1859451,83.5659,101.4937,2.905642,43.5652801227466,43.11853,6.223022,1856.8593086448,1853.212,94.32116,86.41093,87.08639,3576.127,147.1019
3.499997,S,3.499997,1.623002,0.004426822,0.4044884,0.0008414499,357.0719,60.53305,253.9805,0.5284799,83.40254,101.4723,2.92864,22.9317443049511,22.43701,4.737666,1859.66171097878,1855.988,94.82917,86.40242,87.0751,3761.615,156.5604
3.599997,S,3.599997,1.625537,-0.001590189,0.4042377,-0.0002159076,327.269,60.39112,252.7,-0.1349808,83.23919,101.4642,2.953811,8.47454500909948,7.380233,4.165342,1861.27511067981,1857.576,95.28286,86.38554,87.06364,3947.315,166.0665
3.699997,S,3.699997,1.624762,0.0008255793,0.4043141,0.0000518895,211.5149,60.28024,250.5955,0.03214299,83.07584,101.4691,2.98108,-53.0809541936348,-53.0804,0.2425571,1858.64011048018,1854.923,95.48425,86.3766,87.05323,4132.982,175.6086
3.799997,S,3.799997,1.620347,0.003373461,0.4047524,0.0005920252,171.8502,60.20749,247.6115,0.3618937,82.91248,101.487,3.01045,-72.6676278914526,-72.65775,-1.198127,1852.25623396313,1848.53,95.42581,86.36845,87.04487,4318.139,185.1553
3.899997,S,3.899997,1.613776,0.0002763109,0.405413,0.00009677556,96.50857,60.15633,244.1375,0.05820752,82.74912,101.5226,3.042702,-111.11475965459,-111.0597,-3.497549,1843.23015448353,1839.5,95.2006,86.35455,87.03738,4502.53,194.6886
3.999997,S,3.999997,1.603657,0.0004089685,0.4540097,0.00002016919,0,60.14112,267.932,0.01187997,82.59066,101.5728,3.076529,-175.47513579257,-175.3178,-7.429151,1829.90817878903,1826.182,94.71366,86.34338,87.03106,4685.788,204.1869
4.099999,S,4.099999,1.589381,0.002455381,0.4555128,0.0004270036,0,60.14109,262.053,0.2451854,82.59066,101.6406,3.087512,-172.329001528926,-172.1699,-7.403398,1812.53817291287,1808.824,93.97071,86.33386,87.02608,4867.449,213.6211
4.200001,S,4.200001,1.575352,0.000571071,0.4570356,0.0001184294,0,60.14109,256.3582,0.06630379,82.59066,101.7126,3.099179,-169.283354170859,-169.1318,-7.16158,1795.47959258985,1791.777,93.24321,86.32034,87.02104,5047.391,222.9816
4.300004,S,4.300004,1.561561,0.001489137,0.4585769,0.0002257279,0,60.14109,250.8384,0.123241,82.59066,101.7809,3.110254,-166.330114001785,-166.1806,-7.050887,1778.71868633078,1775.027,92.53458,86.3094,87.0158,5225.646,232.2704
4.400006,S,4.400006,1.548,0.001678787,0.4601354,0.0003054458,0,60.14109,245.4854,0.1626556,82.59066,101.8488,3.121257,-163.466160804016,-163.319,-6.934693,1762.24781670175,1758.567,91.83469,86.29784,87.01065,5402.241,241.4888
4.500008,S,4.500008,1.534665,0.0009218443,0.4617091,0.0001562014,0,60.14109,240.2924,0.08114429,82.59066,101.9176,3.132401,-160.688573512872,-160.5464,-6.75804,1746.05950768557,1742.389,91.15143,86.28516,87.00536,5577.205,250.6379
4.60001,S,4.60001,1.521546,0.001662547,0.4632975,0.0002759591,0,60.14109,235.2519,0.1398704,82.59066,101.9838,3.143137,-157.99175235818,-157.8513,-6.660398,1730.14355135217,1726.483,90.48126,86.27392,87,5750.567,259.7195
4.700013,S,4.700013,1.508639,0.001396365,0.4648988,0.0002511753,0,60.14109,230.3575,0.1242323,82.59066,102.0505,3.153948,-155.373434235219,-155.2363,-6.526502,1714.49282347534,1710.842,89.82207,86.26165,86.99464,5922.354,268.7346
4.800015,S,4.800015,1.495938,0.001245562,0.4665121,0.0002081523,0,60.14109,225.6031,0.1004807,82.59066,102.1167,3.164679,-152.830028029764,-152.6963,-6.391982,1699.10056030752,1695.459,89.17725,86.24936,86.98914,6092.59,277.6844
4.900017,S,4.900017,1.483435,0.001611683,0.4681365,0.0002760045,0,60.14109,220.9823,0.1300547,82.59066,102.1817,3.175204,-150.357897276725,-150.2263,-6.289361,1683.95757238378,1680.325,88.54363,86.23754,86.98363,6261.302,286.5704
5.00002,S,5.00002,1.471126,0.001395549,0.469771,0.0002456458,0,60.14109,216.4904,0.1130037,82.59066,102.2467,3.18575,-147.954999433753,-147.8265,-6.165043,1669.05888339714,1665.435,87.92142,86.22509,86.97805,6428.513,295.3935
5.100022,S,5.100022,1.459006,0.001403311,0.4714145,0.0002385171,0,60.14109,212.1214,0.1071364,82.59066,102.3112,3.196197,-145.617729886205,-145.492,-6.049892,1654.39557054558,1650.78,87.31149,86.21275,86.97238,6594.249,304.1551
5.200024,S,5.200024,1.447069,0.001571315,0.4730664,0.0002718593,0,60.14109,207.8713,0.1192499,82.59066,102.3749,3.206518,-143.344031418943,-143.2206,-5.947359,1639.96452455562,1636.357,86.71211,86.20051,86.96668,6758.532,312.8562
